,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
137,102,Mike Conley,PG,36,MIN,66,66,29.0,3.7,8.3,.448,2.2,5.2,.427,1.5,3.1,.483,.582,1.3,1.5,.897,0.5,2.4,2.9,6.0,1.1,0.2,1.2,1.7,11.0,2024
138,103,Pat Connaughton,SF,31,MIL,65,2,21.7,2.0,4.4,.460,1.1,3.0,.372,0.9,1.4,.648,.587,0.5,0.7,.756,0.6,2.5,3.2,1.9,0.5,0.2,0.6,1.2,5.7,2024
139,104,Bilal Coulibaly,SF,19,WAS,63,15,27.2,3.0,6.9,.435,1.0,2.9,.346,2.0,3.9,.502,.509,1.5,2.1,.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4,2024
140,105,Ricky Council IV,SG,22,PHI,24,0,9.0,1.8,3.8,.484,0.3,1.0,.304,1.5,2.8,.544,.522,1.8,2.5,.733,0.5,1.1,1.6,0.4,0.1,0.0,0.2,0.5,5.8,2024
141,106,Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,2024
142,106,Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,2024
143,106,Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,2024
144,107,Torrey Craig,SF,33,CHI,42,12,20.8,2.2,5.1,.432,1.2,3.1,.394,1.0,1.9,.494,.554,0.5,0.7,.742,1.5,2.8,4.3,1.2,0.6,0.4,0.6,2.2,6.2,2024
145,108,Jae Crowder,PF,33,MIL,40,23,23.8,2.4,5.4,.449,1.2,3.3,.368,1.2,2.1,.578,.563,0.5,0.7,.692,0.6,2.8,3.3,1.4,0.9,0.2,0.5,1.7,6.5,2024
146,109,Jalen Crutcher,PG,24,NOP,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
