,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
703,536,Russell Westbrook,PG,35,LAC,64,10,22.4,4.4,9.7,.452,0.6,2.3,.265,3.8,7.4,.509,.483,1.7,2.4,.697,1.4,3.5,4.9,4.4,1.1,0.3,2.0,1.8,11.1,2024
704,537,Coby White,PG,23,CHI,73,72,36.7,6.8,15.4,.444,2.8,7.2,.383,4.1,8.2,.498,.534,2.8,3.4,.842,0.6,4.1,4.7,5.2,0.7,0.2,2.1,2.4,19.3,2024
705,538,Derrick White,SG,29,BOS,70,70,32.7,5.4,11.6,.466,2.7,6.8,.402,2.7,4.8,.556,.583,1.9,2.1,.900,0.7,3.6,4.3,5.2,1.0,1.2,1.5,2.1,15.4,2024
706,539,Cam Whitmore,SF,19,HOU,41,1,18.2,4.5,9.8,.462,1.6,4.6,.358,2.9,5.3,.551,.545,1.6,2.4,.657,1.0,2.9,3.8,0.5,0.7,0.3,1.0,1.2,12.3,2024
707,540,Aaron Wiggins,SG,25,OKC,72,3,15.3,2.5,4.5,.562,0.8,1.6,.491,1.8,2.9,.600,.648,0.7,0.8,.787,0.8,1.5,2.3,1.0,0.6,0.3,0.7,1.2,6.5,2024
708,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
709,541,Andrew Wiggins,SF,28,GSW,67,55,27.0,4.9,10.9,.451,1.2,3.5,.358,3.7,7.4,.495,.508,1.9,2.6,.743,1.6,3.0,4.5,1.7,0.6,0.5,1.2,2.0,13.0,2024
710,542,Lindell Wigginton,PG,25,MIL,3,0,2.7,0.7,1.7,.400,0.0,0.7,.000,0.7,1.0,.667,.400,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,2024
711,543,Alondes Williams,SG,24,MIA,4,0,2.8,0.3,1.0,.250,0.0,0.5,.000,0.3,0.5,.500,.250,0.3,0.3,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.8,2024
712,544,Brandon Williams,PG,24,DAL,13,0,4.6,0.6,1.8,.348,0.2,0.5,.286,0.5,1.2,.375,.391,0.5,0.8,.545,0.2,0.3,0.5,0.9,0.1,0.1,0.2,0.2,1.8,2024
