,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
220,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2024
221,161,Darius Garland,PG,24,CLE,53,1766,14.2,.559,.422,.214,1.8,7.2,4.6,29.6,1.8,0.3,16.2,25.3,0.6,1.7,2.3,.062,0.0,-1.3,-1.3,0.3,2024
222,162,Usman Garuba,PF,21,GSW,3,8,6.2,.000,.000,.000,14.3,0.0,7.1,13.8,6.1,0.0,0.0,5.3,0.0,0.0,0.0,.069,-6.4,3.5,-2.9,0.0,2024
223,163,Luka Garza,C,25,MIN,21,109,21.3,.577,.448,.313,17.2,11.3,14.1,6.5,1.4,0.8,6.2,33.1,0.2,0.2,0.4,.158,0.5,-2.7,-2.2,0.0,2024
224,164,Kaiser Gates,SF,27,NOP,1,7,-19.5,.000,.500,.000,0.0,15.8,8.0,0.0,0.0,0.0,0.0,24.9,-0.1,0.0,-0.1,-0.551,-18.6,-10.1,-28.7,-0.1,2024
225,165,Keyonte George,PG,20,UTA,69,1858,10.4,.529,.537,.280,0.9,11.1,6.0,23.2,0.9,0.3,16.7,22.5,-0.4,0.2,-0.2,-0.005,-1.6,-2.7,-4.3,-1.1,2024
226,166,Paul George,PF,33,LAC,70,2389,19.2,.610,.478,.224,1.8,15.9,9.1,15.9,2.3,1.3,9.7,26.6,4.1,2.6,6.7,.134,2.8,0.1,3.0,3.0,2024
227,167,Taj Gibson,PF,38,TOT,17,176,3.8,.367,.320,.080,6.7,13.4,10.0,6.3,0.9,3.2,16.2,7.6,-0.1,0.2,0.1,.024,-6.5,0.2,-6.4,-0.2,2024
228,167,Taj Gibson,PF,38,NYK,16,165,3.2,.335,.261,.087,7.1,12.9,10.0,6.7,0.6,3.4,17.3,7.6,-0.1,0.2,0.1,.017,-6.9,0.0,-6.9,-0.2,2024
229,167,Taj Gibson,PF,38,DET,1,11,12.3,.750,1.000,.000,0.0,20.9,10.3,0.0,4.4,0.0,0.0,7.7,0.0,0.0,0.0,.132,-0.7,2.3,1.6,0.0,2024
230,168,Josh Giddey,SG,21,OKC,75,1870,16.8,.550,.291,.140,6.8,21.8,14.6,25.5,1.2,2.1,15.0,23.0,1.4,2.5,3.9,.099,1.2,0.3,1.5,1.7,2024
231,169,Harry Giles,C,25,TOT,22,98,14.8,.503,.280,.260,13.3,18.9,16.1,10.6,1.0,2.8,9.7,27.3,-0.1,0.1,0.0,.021,-2.8,-2.1,-4.9,-0.1,2024
232,169,Harry Giles,C,25,BRK,16,81,18.4,.543,.250,.295,16.1,20.2,18.1,12.9,0.6,3.3,10.8,29.9,0.0,0.1,0.1,.067,-1.1,-1.8,-2.8,0.0,2024
233,169,Harry Giles,C,25,LAL,6,17,-2.4,.167,.500,.000,0.0,13.0,6.8,0.0,2.8,0.0,0.0,15.3,-0.1,0.0,-0.1,-0.201,-10.9,-3.9,-14.8,-0.1,2024
234,170,Shai Gilgeous-Alexander,PG,25,OKC,71,2444,29.4,.638,.178,.431,3.1,15.2,9.4,30.1,2.9,2.4,8.5,32.9,9.9,3.9,13.8,.271,6.7,2.3,9.0,6.8,2024
235,171,Anthony Gill,PF,31,WAS,46,366,11.9,.553,.262,.254,9.0,14.7,11.7,9.7,1.3,1.6,14.0,18.2,0.1,0.2,0.2,.031,-2.7,-1.4,-4.2,-0.2,2024
236,172,Collin Gillespie,PG,24,DEN,24,225,11.0,.586,.551,.174,0.5,10.3,5.6,15.6,2.9,0.0,15.9,17.3,0.1,0.3,0.3,.071,-3.8,0.9,-2.9,0.0,2024
237,173,Jacob Gilyard,PG,25,TOT,39,669,11.3,.589,.836,.014,1.3,6.1,3.6,28.3,2.1,0.7,16.5,11.3,0.8,0.6,1.4,.098,-1.7,0.2,-1.5,0.1,2024
238,173,Jacob Gilyard,PG,25,MEM,37,654,11.5,.597,.833,.014,1.3,6.3,3.7,28.5,2.0,0.7,16.7,11.5,0.8,0.5,1.4,.101,-1.5,0.2,-1.3,0.1,2024
239,173,Jacob Gilyard,PG,25,BRK,2,15,0.3,.000,1.000,.000,0.0,0.0,0.0,15.7,3.3,0.0,0.0,5.8,0.0,0.0,0.0,-0.043,-10.4,2.9,-7.5,0.0,2024
240,174,Rudy Gobert,C,31,MIN,70,2381,18.9,.669,.005,.636,13.5,30.4,22.4,5.4,0.9,5.5,13.2,15.4,4.9,5.5,10.4,.210,-0.1,1.7,1.7,2.2,2024
241,175,Jordan Goodwin,PG,25,TOT,52,886,12.1,.454,.395,.139,8.8,16.7,12.8,21.2,2.2,1.8,13.2,18.5,-0.2,1.1,0.9,.049,-1.7,0.6,-1.2,0.2,2024
242,175,Jordan Goodwin,PG,25,PHO,40,558,12.4,.481,.415,.150,8.7,14.9,12.0,18.6,2.0,1.4,12.4,18.2,0.2,0.7,0.8,.070,-1.3,0.3,-0.9,0.1,2024
